Goggle#,FID,Description,VisitBy,Comments,SpotMon,ContMon,River,Easting,Northing
25,24,High Lumburn Bridge,PB,Just down from quarry and fisheries. Easy spot sample access. No where immediately obviously rateable. Noticable sudden SS increase - slatey coloured water…,Y,0,River Lumburn,245275,74673
26,25,Langford Farm,PB,No access.,0,0,Unnamed trib of River Lumburn,245830,75810
27,26,Rushford Bridge,PB,Spot access only.,0,0,River Lumburn,244954,76319
28,27,Lamerton Bridge,PB,"Private access upstream, inaccessble downstream. Pole from bridge. Constrained flow upstream if given access.",Y,0,River Lumburn,244848,76898
29,28,Great Haye Farm track bridge,PB,"Probably too high up stream. Easy access for spot sample, not great for parking/turning..",Y,0,River Lumburn,244682,77764
30,29,Lamerton foot bridge,PB,Possibly too far upstream. Couldn't access.,0,0,Unnamed trib of River Lumburn,245152,76871
31,30,Court Barton,PB,"Possibly too far upstream. Tiny, inaccessible.",0,0,Unnamed trib of River Lumburn,245408,77409
32,31,Hawthorn Road Bridge,EGC,"3 different culverts, complex",M,0,Tiddy Brook,248315,72886
33,32,Tiddybrook Barn Bridge,EGC,"Fast flow, car park, 2 culverts, steep access to river",0,0,Tiddy Brook,247802,73056
34,33,Bridge D/S supermarket,EGC,No access to either side of the stream,0,0,Tiddy Brook,247876,73061
35,34,U/S supermarket,EGC,"Behind locked gate one side, private garden other side",0,0,Tiddy Brook,247969,73051
36,35,Anderton Court foot bridge,EGC,"Cul de sac, private land, contricted",M,0,Unnamed trib of Tiddy Brook,249050,72528
37,36,A386 bridge,EGC,"Near car wash, locked access/gate, but could be possible. Next to busy road",M,M,Tiddy Brook,248126,72979
38,37,Mulbery Grove Bridge,EGC,"Steep bank, pipe work and private access",,0,Tiddy Brook,248376,72869
39,38,Anderton Lane,EGC,Maybe. By a footpath,,M,Unnamed trib of Tiddy Brook,248800,72496
40,39,Oak Road,EGC,"Different culverts, complex",,0,Tiddy Brook,248510,72798
41,40,Sycamore Avenue foot bridge,EGC,"Steep bank, pipe work and private access but maybe.",,0,Tiddy Brook,248435,72836
42,41,Whitchurch Road,EGC,"Difficult access (in field but along very busy road), flooding field",,0,Unnamed trib of Tiddy Brook,249355,71790
43,42,Ash Farm,EGC,Potential - access to river OK and can walk under bridge. Near foot path,,M,Unnamed trib of Tiddy Brook,248894,72203
44,43,Anderton Court,EGC,"Cul de sac, private land, contricted",M,0,Unnamed trib of Tiddy Brook,249076,72526
45,44,Whitchurch Road,EGC,Potential - further from bridge on (private) car park one side and allotments other,,M,Unnamed trib of Tiddy Brook,249153,72514
46,45,Burnside,EGC,Potential - Private land ,,M,Unnamed trib of Tiddy Brook,249627,72778
47,46,Shortsland Bridge,EGC,"Private land, not easy",,0,Unnamed trib of Tiddy Brook,249762,72842
48,47,Shorts Land Cottage Bridge,EGC,"Private land, not easy",,0,Unnamed trib of Tiddy Brook,249893,72907
49,48,Tavistock Weir,NG,Very busy/insecure site,1,0,River Tavy,248218,74302
50,49,Footbridge at conf with River Tavy,NG,Private property - no access,0,0,Unnamed trib of River Tavy,249046,74837
51,50,Pennycomequick,NG,"Restricted acces, river braid above bridge, iron precipitate visible",0,0,Unnamed trib of River Tavy,251446,74054
52,51,Mount Tavy Road,NG,"Could not find stream, not safe to stop",0,0,Unnamed trib of River Tavy,249306,74679
53,52,Whitchurch Common,NG,Super easy acess from the road,2,0,Unnamed trib of River Tavy,250882,74146
54,53,Taviton Cottages,NG,"Could not find stream, not safe to stop",0,0,Unnamed trib of River Tavy,249486,74797
55,54,Old Exeter Road,NG,"Chanel 4m below bridge, could get sample with rope/pole not ideal",2,0,River Wallabrook,249170,75483
56,55,River Wallabrook,NG,No access and on busy road,0,0,River Wallabrook,249284,75409
57,56,The Willows,NG/PB,"Single arch stone bridge, great access, quite shallow - very high up catchment",2,0,River Wallabrook,247658,78238
58,57,Union Mine Road footbridge,NG,"Possible to access beyond end of railing but not as easy as 58, park in industrial estate",0,0,River Burn,249828,76203
59,58,Half Bridge,NG,Park on road to Harford Bridge then track take you to a ford - ideal for spot sample,3,0,River Burn,250229,76655
60,59,Station House,NG,"River a long way down from road, could acces via stables with permission - very high up catchment",1,0,River Burn,248621,81186
61,60,Burnford,NG/PB,"Single arch stone bridge reasonably constrained flow and accessibe via field to north with permission (probably Burnford Farm), or from bridge with long rope/pole, looks like gets big events with lots of debris risk, couldn't properly check out as assumed private access",2,0,River Burn,249788,78718
62,61,Harford Bridge,NG,"Large 3 arch stone bridge, poorly constrained river, easy access for spot sample via caravan park - Harford Bridge Park",3,0,River Tavy,250577,76759
63,62,Foot bridge D/S Peter Tavy,NG,Prvate Land - could not access,0,0,Colly Brook,251038,77617
64,63,Bridge Peter Tavy,NG,Private property Lower Mill - could use for cont. mon as equipment would be secure but would need permission - not as good as FID65,0,0,Colly Brook,251326,77616
65,64,Main Bridge Peter Tavy,NG,Easy acces to D/S side although bank quite steep FID77 safer access,0,0,Colly Brook,251385,77615
66,65,Higher Mill Bridge Peter Tavy,NG,"Practically a weir under the bridge, very well constrained, tucked away spot for pump sampler if needed - would need permission",0,1,Colly Brook,251546,77631
67,66,Weir at Whitestone Farm,NG,"Access via public footpath, park on track to left of hydro-electic enterence, brook constrained under footbridge, could site eqm within HE plant or compost site",3,1,Cholwell Brook,250837,78518
68,67,Bridge south of Mary Tavy,NG,Very well constrained under bridge but difficult to access river due to steep banks,0,0,Cholwell Brook,250761,78893
69,68,Glebe Cottage Weir,NG,Private land - no access,0,0,Cholwell Brook,250532,79338
70,69,Bridge South of Tavy,NG,"Too steep to directy access river, could use pole from bridge",0,0,Cholwell Brook,250565,79407
71,70,Hill Bridge,NG,"EA mon site, large weir, could site equipment on bank and chain to railing for security",3,3,River Tavy,253199,80384
72,71,Con with River Tavy,NG,"Easy access, well constrained under road bridge",2,0,Youldon Brook,253170,80342
73,72,Middle Waspworthy Bridge,NG,"Tiny stream flows through wall, easily accessible from road,",0,0,Youldon Brook,253743,80174
74,73,Waspworthy Bridge,NG,No access from road,0,0,Youldon Brook,253725,80325
75,74,Willsworthy Bridge,NG,"Easy access, well constrained",2,0,Willsworthy Brook,253370,81655
76,75,Nat Tor B,NG,"Where Tavy exists peat/moorland - channel narrows, rock bedrock, bank high enough for safe autosampler - poor Q measurement, walk could be shorter if Nattor Farm agree to us using track",3,2,River Tavy,254557,82056
77,76,Magpie Bridge,DL,Same as 9  - channel is the same ,Y,0,River Walkham,250342,70360
New Site,77,Peter Tavy Methodist Church,NG,"less constrained but safer access to river, park at village halll and take path round side of church",2,0,Colly Brook,251484,77635
New Site,78,Footbridge at Whitestone Farm,NG,"Park on track next to HydroElectic plant short walk along bridalway to footbridge, river easily accesible but poorly constrained",3,0,River Tavy,251036,78443
New Site,79,Nat Tor A,NG,"Where Tavy exists peat/moorland - rock bedrock, natural weit but some eddies, less obvious place for autosampler - poor Q measurement",0,0,River Tavy,254554,82056
New Site,80,Standon Steps,NG,bridge over braided river - not possible to guage - not advantage ofer Nat Tor,0,0,River Tavy,253910,81576
New Site,81,Watersmeet Cottages Tavy,NG,4x4 access to Watersmeet Cottages - U/S confluence with Walkham,3,0,River Tavy,247608,69911
New Site,82,Watersmeet Cottages Walkham,NG,4x4 access to Watersmeet Cottages - U/S Confluence with Tavy,3,0,River Walkham,247601,69887
New Site,83,West Down,NG,Possibly insecure but chennel reasonably constrained - below conf with Lumburn,0,0,River Tavy,247657,69990
New Site,84,Trout Fishery,NG,poor for Q but good potential for WQ if given permission,1,2,River Tavy,249392,75683
New Site,85,Pittstop Motor Services,NG,Difficult acces as steep banksides,0,0,River Tavy,249917,76106
New Site,86,EA Tavistock Guage,NG,No access for WQ sampling,0,0,River Tavy,248295,74507
New Site,87,Tavistock Communitry Football Club,,,tbv,tbv,River Tavy,247697,72912
New Site,88,Crowndale Cottages,,,tbv,tbv,River Tavy,247377,72541
New Site,89,Crowndale STW,,,tbv,tbv,River Tavy,247263,72130
New Site,90,Recycling Center,,,tbv,tbv,River Tavy,246972,72093
New Site,91,Vigo Bridge,,,tbv,tbv,River Tavy,248423,74591
